"salesperson","year","month","dept","location","units_sold","order_amount","cost"
"Ashley",2005,"February","mascara","east",162,448,343
"Betsy",2004,"November","lip gloss","midwest",86,387,258
"Ashley",2004,"November","foundation","south",103,487,376
"Zaret",2006,"September","foundation","south",104,360,287
"Colleen",2005,"July","lip gloss","west",41,495,373
"Hallagan",2005,"April","eye liner","south",82,366,263
"Cici",2006,"November","eye liner","midwest",260,658,534
"Jen",2004,"November","mascara","south",136,459,350
"Cici",2005,"November","lip gloss","west",31,246,197
"Jen",2005,"November","eye liner","east",129,495,354
"Cristina",2006,"September","mascara","west",443,533,448
"Emilee",2006,"January","lip gloss","midwest",302,525,455
"Emilee",2005,"January","foundation","west",176,476,367
"Betsy",2006,"May","lip gloss","west",81,429,336
"Hallagan",2006,"November","mascara","west",281,567,453
"Jen",2006,"March","eye liner","west",85,390,363
"Ashley",2006,"December","lip gloss","east",63,411,318
"Cici",2004,"November","mascara","west",466,448,342
"Colleen",2005,"December","foundation","west",437,546,490
"Zaret",2006,"February","foundation","east",121,448,354
"Zaret",2004,"November","lip gloss","midwest",249,669,542
"Hallagan",2004,"December","eye liner","east",270,727,633
"Hallagan",2005,"April","mascara","midwest",235,520,460
"Zaret",2004,"July","lipstick","east",266,403,256
"Ashley",2006,"January","lipstick","east",170,354,244
"Betsy",2004,"December","foundation","west",88,300,227
"Zaret",2004,"June","foundation","south",99,609,503
"Colleen",2006,"December","mascara","west",298,520,467
"Hallagan",2005,"February","eye liner","south",107,518,470
"Hallagan",2005,"January","lip gloss","midwest",166,361,269
"Jen",2004,"December","mascara","south",30,428,293
"Betsy",2006,"March","lipstick","south",225,475,455
"Zaret",2006,"November","mascara","south",216,461,396
"Betsy",2004,"October","lipstick","west",91,579,417
"Colleen",2006,"August","mascara","west",66,462,420
"Jen",2004,"May","foundation","midwest",163,345,254
"Hallagan",2004,"November","lip gloss","south",149,563,477
"Betsy",2005,"July","lip gloss","west",282,535,484
"Cici",2005,"June","foundation","east",228,462,368
"Emilee",2004,"September","mascara","south",92,392,272
"Ashley",2004,"November","foundation","midwest",140,334,272
"Hallagan",2006,"November","lip gloss","west",225,483,362
"Jen",2006,"November","lip gloss","south",148,420,326
"Zaret",2005,"September","eye liner","midwest",50,415,333
"Cristina",2004,"November","lipstick","midwest",162,479,332
"Cici",2006,"November","lip gloss","south",207,542,411
"Emilee",2004,"September","eye liner","east",258,422,333
"Betsy",2006,"November","foundation","west",169,445,333
"Zaret",2005,"September","lipstick","south",75,471,400
"Emilee",2004,"November","eye liner","east",45,546,414
"Hallagan",2006,"February","lipstick","west",132,331,250
"Jen",2004,"August","eye liner","east",106,392,294
"Betsy",2006,"January","lip gloss","east",320,587,495
"Cici",2006,"March","mascara","midwest",68,456,314
"Emilee",2006,"December","foundation","west",380,618,477
"Ashley",2005,"April","lipstick","east",32,362,270
"Betsy",2005,"December","eye liner","midwest",381,457,372
"Betsy",2004,"December","eye liner","midwest",294,685,529
"Colleen",2004,"November","lip gloss","east",145,418,329
"Emilee",2005,"January","mascara","east",102,427,316
"Cici",2005,"June","lipstick","midwest",128,331,246
"Jen",2006,"June","lip gloss","east",448,686,549
"Cristina",2004,"March","lipstick","south",70,346,288
"Ashley",2004,"March","lip gloss","west",281,372,293
"Betsy",2006,"November","foundation","east",203,489,416
"Emilee",2004,"November","eye liner","midwest",168,506,370
"Emilee",2004,"June","lip gloss","south",316,471,369
"Cici",2005,"July","eye liner","midwest",218,624,503
"Hallagan",2004,"February","lipstick","east",142,466,383
"Colleen",2005,"February","eye liner","west",130,578,420
"Colleen",2006,"September","eye liner","south",281,612,509
"Jen",2006,"November","eye liner","midwest",209,481,426
"Betsy",2004,"June","lipstick","east",39,340,251
"Cici",2006,"September","eye liner","east",138,404,295
"Betsy",2004,"December","foundation","west",344,466,349
"Betsy",2006,"November","lip gloss","south",69,611,543
"Cici",2006,"January","eye liner","east",247,536,445
"Ashley",2006,"December","eye liner","south",200,311,315
"Emilee",2005,"November","mascara","east",308,642,515
"Betsy",2006,"March","mascara","south",356,482,318
"Cristina",2004,"December","mascara","west",217,502,438
"Colleen",2005,"April","lip gloss","midwest",162,342,226
"Jen",2006,"November","eye liner","east",279,554,456
"Cristina",2004,"May","lip gloss","west",23,524,404
"Hallagan",2006,"July","mascara","midwest",424,586,488
"Colleen",2004,"September","lip gloss","west",170,628,478
"Hallagan",2005,"November","lip gloss","west",156,417,329
"Ashley",2004,"July","mascara","midwest",333,409,356
"Jen",2004,"September","eye liner","east",307,502,347
"Cici",2005,"November","lip gloss","south",68,335,207
"Cici",2006,"November","lipstick","midwest",167,302,190
"Ashley",2004,"July","foundation","south",216,498,419
"Zaret",2004,"September","lip gloss","west",179,423,277
"Hallagan",2006,"May","mascara","midwest",66,430,313
"Cici",2006,"November","mascara","west",320,591,456
"Betsy",2006,"August","lip gloss","south",149,440,388
"Jen",2005,"November","mascara","east",185,422,330
"Emilee",2006,"October","eye liner","south",106,315,235
"Cristina",2005,"November","mascara","midwest",162,367,261
"Cristina",2005,"May","eye liner","west",500,516,442
"Emilee",2004,"January","eye liner","east",443,520,423
"Jen",2004,"December","lipstick","west",273,490,381
"Hallagan",2006,"August","eye liner","east",237,523,421
"Ashley",2005,"February","lip gloss","south",192,394,297
"Emilee",2006,"July","eye liner","west",299,535,465
"Zaret",2005,"April","lipstick","midwest",314,620,520
"Cici",2005,"January","mascara","south",214,493,416
"Betsy",2006,"March","foundation","south",105,571,473
"Colleen",2006,"January","lipstick","east",282,429,343
"Ashley",2005,"July","eye liner","south",184,456,363
"Colleen",2006,"February","mascara","west",231,536,440
"Colleen",2005,"April","lipstick","west",61,224,138
"Colleen",2006,"April","mascara","south",107,353,286
"Colleen",2004,"April","eye liner","west",358,490,395
"Jen",2004,"December","lipstick","west",152,424,335
"Zaret",2006,"May","mascara","midwest",282,471,404
"Cristina",2006,"May","lip gloss","west",61,439,375
"Emilee",2006,"December","mascara","midwest",192,494,408
"Colleen",2005,"April","eye liner","east",81,357,247
"Zaret",2005,"May","eye liner","south",81,429,317
"Emilee",2004,"May","lip gloss","east",471,351,256
"Ashley",2005,"November","mascara","south",243,606,506
"Cici",2004,"December","mascara","west",291,593,526
"Betsy",2004,"February","foundation","midwest",72,403,276
"Emilee",2005,"April","foundation","south",103,414,293
"Betsy",2006,"June","mascara","east",214,517,427
"Cici",2006,"February","eye liner","west",106,346,239
"Colleen",2005,"November","mascara","south",205,516,438
"Betsy",2006,"February","mascara","east",207,595,492
"Betsy",2005,"December","eye liner","east",257,486,409
"Colleen",2004,"November","foundation","south",305,563,513
"Ashley",2004,"August","mascara","east",154,542,413
"Hallagan",2006,"November","mascara","east",66,389,285
"Colleen",2004,"October","eye liner","midwest",89,472,323
"Betsy",2006,"July","mascara","midwest",175,420,309
"Zaret",2004,"February","mascara","south",204,567,462
"Colleen",2004,"February","foundation","west",269,662,530
"Cristina",2004,"November","foundation","east",112,461,356
"Jen",2004,"April","foundation","west",200,453,333
"Jen",2006,"October","foundation","west",250,623,543
"Jen",2006,"December","lip gloss","south",216,417,331
"Hallagan",2006,"December","lip gloss","west",300,630,559
"Cristina",2004,"February","eye liner","south",81,414,300
"Cici",2004,"October","eye liner","midwest",89,307,246
"Cristina",2004,"November","foundation","west",70,453,356
"Zaret",2004,"December","lip gloss","west",193,524,411
"Cristina",2005,"October","eye liner","west",319,658,576
"Hallagan",2004,"November","foundation","west",78,590,468
"Hallagan",2005,"October","mascara","east",210,715,603
"Betsy",2005,"October","foundation","west",373,595,502
"Hallagan",2004,"December","lipstick","west",158,452,375
"Colleen",2004,"March","mascara","south",121,242,184
"Cici",2004,"September","foundation","south",85,410,293
"Cristina",2005,"September","foundation","east",151,439,363
"Zaret",2004,"December","eye liner","west",177,572,446
"Colleen",2004,"September","mascara","midwest",227,489,420
"Betsy",2005,"November","lipstick","west",65,364,283
"Jen",2005,"December","foundation","west",36,424,359
"Cristina",2004,"April","mascara","midwest",292,639,546
"Colleen",2005,"January","eye liner","east",117,465,339
"Betsy",2006,"April","eye liner","midwest",128,468,343
"Emilee",2005,"January","eye liner","east",141,408,279
"Hallagan",2005,"June","lip gloss","west",134,310,224
"Emilee",2006,"June","mascara","midwest",84,384,324
"Ashley",2004,"November","lipstick","east",151,506,381
"Hallagan",2004,"November","mascara","midwest",107,458,346
"Betsy",2005,"December","eye liner","west",174,450,317
"Zaret",2005,"February","mascara","midwest",190,423,293
"Betsy",2006,"April","lip gloss","west",90,498,373
"Cici",2005,"March","eye liner","midwest",264,508,456
"Ashley",2004,"June","eye liner","west",72,520,409
"Betsy",2005,"April","mascara","south",64,442,329
"Hallagan",2004,"November","foundation","west",197,442,311
"Cristina",2004,"January","eye liner","south",219,557,414
"Zaret",2005,"December","lip gloss","west",163,346,267
"Colleen",2005,"November","eye liner","midwest",526,572,468
"Colleen",2004,"November","foundation","midwest",651,569,472
"Jen",2006,"August","eye liner","east",111,409,396
"Colleen",2005,"August","mascara","west",131,419,313
"Emilee",2005,"December","lip gloss","east",193,437,281
"Jen",2004,"October","foundation","west",67,333,263
"Hallagan",2005,"July","eye liner","west",152,387,290
"Zaret",2004,"May","eye liner","west",406,608,500
"Betsy",2006,"February","mascara","east",88,392,296
"Zaret",2006,"August","mascara","east",210,570,446
"Zaret",2006,"November","lip gloss","west",196,472,342
"Betsy",2004,"April","foundation","south",259,525,466
"Colleen",2004,"August","lip gloss","south",28,411,339
"Cristina",2006,"December","foundation","west",141,521,348
"Ashley",2005,"July","mascara","midwest",310,519,409
"Betsy",2004,"November","lip gloss","east",100,378,329
"Ashley",2004,"August","lip gloss","midwest",90,404,293
"Jen",2005,"November","mascara","midwest",152,491,388
"Colleen",2004,"June","lipstick","south",89,501,381
"Jen",2006,"February","mascara","west",143,419,339
"Jen",2006,"September","lip gloss","west",111,634,466
"Zaret",2004,"November","mascara","east",48,504,370
"Cici",2005,"November","foundation","south",195,386,310
"Ashley",2004,"December","mascara","west",92,461,365
"Ashley",2006,"December","lipstick","south",137,514,370
"Ashley",2006,"November","mascara","midwest",185,530,412
"Zaret",2005,"February","eye liner","south",336,643,564
"Ashley",2004,"November","mascara","west",110,410,307
"Zaret",2005,"February","mascara","midwest",246,600,480
"Jen",2005,"November","eye liner","south",27,366,298
"Cici",2005,"May","lip gloss","south",301,439,390
"Cristina",2006,"December","mascara","east",45,466,380
"Cristina",2006,"April","foundation","east",44,536,418
"Betsy",2004,"January","lip gloss","midwest",222,556,492
"Colleen",2005,"March","eye liner","midwest",141,459,361
"Betsy",2005,"May","lipstick","midwest",49,409,321
"Betsy",2004,"April","foundation","east",209,475,379
"Hallagan",2006,"July","lip gloss","south",252,576,429
"Jen",2006,"February","mascara","midwest",160,482,351
"Ashley",2006,"September","lipstick","east",177,624,502
"Jen",2004,"November","lipstick","west",362,507,385
"Hallagan",2004,"September","lip gloss","west",110,337,269
"Betsy",2005,"November","lip gloss","south",277,529,461
"Hallagan",2006,"May","mascara","east",301,490,376
"Cici",2005,"November","mascara","midwest",203,677,559
"Hallagan",2004,"November","mascara","south",204,544,468
"Cristina",2005,"April","foundation","west",148,311,254
"Jen",2005,"November","lipstick","midwest",70,422,349
"Cristina",2005,"April","eye liner","east",261,560,444
"Jen",2004,"November","lip gloss","midwest",89,428,362
"Betsy",2004,"February","mascara","east",107,352,242
"Cici",2006,"April","lip gloss","east",122,289,240
"Ashley",2004,"February","foundation","south",155,425,341
"Cristina",2004,"February","lip gloss","south",108,419,307
"Hallagan",2004,"November","mascara","south",117,455,379
"Colleen",2005,"February","lipstick","midwest",274,509,438
"Ashley",2004,"December","lipstick","west",135,587,486
"Cici",2005,"July","foundation","west",219,450,340
"Hallagan",2004,"November","eye liner","south",212,544,469
"Ashley",2004,"November","mascara","south",412,625,573
"Ashley",2005,"May","mascara","west",167,477,319
"Zaret",2005,"November","lip gloss","west",216,528,494
"Ashley",2004,"November","foundation","south",116,366,254
"Emilee",2006,"December","foundation","west",203,558,435
"Ashley",2005,"November","lip gloss","south",139,419,338
"Cici",2004,"June","mascara","midwest",93,401,244
"Hallagan",2004,"October","eye liner","midwest",110,357,236
"Jen",2004,"November","mascara","south",114,409,359
"Betsy",2006,"March","lip gloss","east",74,485,300
"Zaret",2004,"June","lipstick","west",104,375,293
"Hallagan",2005,"May","foundation","west",76,367,264
"Cristina",2004,"March","lip gloss","west",176,441,328
"Cici",2004,"September","lip gloss","west",181,493,415
"Betsy",2006,"December","mascara","west",206,571,463
"Jen",2006,"October","mascara","south",193,399,284
"Cristina",2006,"August","mascara","east",89,396,351
"Zaret",2006,"November","foundation","east",70,492,409
"Zaret",2005,"January","lipstick","west",280,500,414
"Hallagan",2004,"November","mascara","south",363,544,476
"Hallagan",2004,"January","eye liner","south",315,555,484
"Betsy",2006,"December","foundation","west",230,682,588
"Hallagan",2006,"April","mascara","midwest",77,567,455
"Cici",2005,"May","eye liner","midwest",107,557,399
"Zaret",2005,"October","eye liner","west",219,582,458
"Cristina",2006,"December","lip gloss","west",175,504,392
"Zaret",2005,"December","eye liner","south",80,419,322
"Betsy",2004,"July","lip gloss","west",79,307,262
"Colleen",2006,"November","foundation","south",149,477,386
"Colleen",2006,"September","eye liner","west",172,418,310
"Cristina",2005,"March","foundation","south",174,369,267
"Zaret",2004,"June","lipstick","south",345,404,356
"Colleen",2004,"February","mascara","east",76,383,251
"Cristina",2004,"April","lip gloss","south",157,503,404
"Zaret",2004,"February","eye liner","south",179,322,222
"Betsy",2004,"January","mascara","south",151,450,319
"Cristina",2005,"June","foundation","south",347,637,552
"Cici",2005,"November","foundation","midwest",136,479,402
"Colleen",2005,"March","eye liner","south",247,632,573
"Cristina",2005,"February","foundation","south",121,360,251
"Hallagan",2004,"May","eye liner","west",195,539,449
"Cici",2004,"May","lip gloss","south",246,572,475
"Zaret",2004,"April","lip gloss","south",219,498,394
"Emilee",2006,"September","lip gloss","west",304,510,416
"Ashley",2006,"May","foundation","midwest",302,518,430
"Jen",2006,"June","lipstick","south",76,614,499
"Betsy",2005,"June","lip gloss","east",318,512,451
"Jen",2004,"October","lip gloss","west",180,434,340
"Cici",2005,"November","lip gloss","midwest",390,667,573
"Ashley",2006,"August","lip gloss","east",193,384,270
"Emilee",2005,"November","lip gloss","west",85,336,278
"Zaret",2004,"November","mascara","east",232,494,405
"Cristina",2004,"October","mascara","midwest",133,334,290
"Cristina",2005,"January","lip gloss","midwest",264,517,413
"Hallagan",2004,"March","lip gloss","midwest",55,433,316
"Betsy",2006,"August","lip gloss","west",192,436,348
"Zaret",2004,"November","foundation","east",66,386,261
"Jen",2005,"November","mascara","east",163,379,320
"Emilee",2004,"October","mascara","south",237,540,439
"Betsy",2004,"October","lip gloss","east",86,432,332
"Ashley",2004,"February","mascara","west",349,522,461
"Colleen",2006,"November","mascara","east",211,558,428
"Zaret",2004,"December","lip gloss","east",82,494,349
"Hallagan",2006,"October","eye liner","west",504,560,396
"Betsy",2005,"August","lipstick","south",163,423,323
"Cristina",2006,"January","eye liner","west",287,743,680
"Cristina",2004,"November","eye liner","south",218,629,518
"Zaret",2006,"April","eye liner","midwest",570,658,565
"Jen",2005,"September","mascara","west",196,530,434
"Emilee",2005,"December","mascara","midwest",68,373,265
"Ashley",2006,"December","eye liner","midwest",184,503,427
"Hallagan",2005,"March","lipstick","east",115,383,266
"Cristina",2006,"July","lip gloss","midwest",192,461,359
"Jen",2006,"April","foundation","west",207,475,383
"Zaret",2006,"October","foundation","east",404,464,354
"Cristina",2004,"December","mascara","west",158,519,411
"Emilee",2006,"October","mascara","east",72,349,205
"Cici",2006,"April","eye liner","west",181,463,339
"Zaret",2005,"October","mascara","west",284,550,445
"Cici",2004,"May","eye liner","south",178,521,393
"Colleen",2006,"August","mascara","midwest",79,352,262
"Cristina",2005,"June","foundation","midwest",505,523,423
"Ashley",2005,"June","lipstick","south",315,668,512
"Zaret",2006,"December","foundation","west",98,364,265
"Hallagan",2006,"January","foundation","west",212,671,588
"Cristina",2004,"September","lip gloss","west",257,702,581
"Cici",2005,"December","foundation","south",125,459,357
"Ashley",2006,"October","lipstick","south",199,314,210
"Cici",2004,"April","eye liner","east",549,613,546
"Colleen",2004,"June","mascara","west",387,473,401
"Jen",2006,"October","lip gloss","west",71,418,324
"Hallagan",2006,"October","lipstick","midwest",115,381,258
"Zaret",2005,"November","eye liner","west",176,505,409
"Colleen",2006,"December","mascara","west",84,423,326
"Emilee",2006,"December","mascara","midwest",208,324,289
"Colleen",2006,"December","foundation","west",303,360,257
"Colleen",2004,"December","mascara","east",131,455,338
"Zaret",2004,"July","eye liner","east",100,464,339
"Ashley",2004,"September","mascara","west",226,435,398
"Jen",2005,"August","foundation","midwest",150,504,414
"Zaret",2006,"November","lipstick","east",165,385,269
"Cristina",2006,"December","lipstick","west",165,477,390
"Zaret",2006,"October","lip gloss","west",279,579,514
"Zaret",2005,"May","lip gloss","south",231,536,431
"Cici",2006,"January","foundation","east",275,631,513
"Cici",2004,"December","eye liner","south",139,535,387
"Betsy",2006,"July","foundation","east",322,714,615
"Zaret",2004,"November","foundation","west",402,709,575
"Zaret",2005,"August","foundation","south",161,447,372
"Jen",2004,"January","mascara","east",89,463,351
"Betsy",2006,"June","eye liner","west",89,347,275
"Ashley",2005,"June","foundation","east",248,610,530
"Ashley",2005,"October","eye liner","west",188,316,236
"Cristina",2005,"December","mascara","east",185,324,255
"Betsy",2004,"November","eye liner","west",364,629,615
"Zaret",2004,"April","lipstick","east",22,396,287
"Emilee",2006,"May","eye liner","west",175,351,242
"Ashley",2005,"December","lipstick","east",86,265,184
"Cristina",2006,"August","foundation","east",280,412,311
"Ashley",2005,"May","eye liner","east",470,556,413
"Betsy",2005,"June","foundation","south",194,455,340
"Cici",2006,"May","mascara","south",200,386,271
"Colleen",2004,"July","eye liner","west",69,366,300
"Cici",2005,"December","mascara","midwest",36,468,341
"Emilee",2006,"March","eye liner","west",133,397,302
"Betsy",2005,"December","eye liner","west",207,591,467
"Betsy",2006,"September","foundation","midwest",321,519,412
"Betsy",2005,"January","eye liner","south",129,496,335
"Jen",2005,"May","lip gloss","west",140,412,307
"Ashley",2004,"April","mascara","south",198,479,424
"Cristina",2005,"January","mascara","west",80,446,356
"Betsy",2006,"January","lip gloss","south",383,401,350
"Colleen",2004,"November","foundation","west",207,528,440
"Ashley",2005,"December","foundation","west",163,451,323
"Colleen",2004,"December","foundation","west",93,502,371
"Betsy",2006,"May","foundation","east",205,686,602
"Ashley",2005,"October","lip gloss","west",29,412,304
"Betsy",2006,"October","foundation","west",123,489,412
"Zaret",2005,"November","eye liner","west",370,369,305
"Zaret",2005,"October","mascara","midwest",153,364,268
"Zaret",2004,"December","eye liner","midwest",224,549,451
"Betsy",2006,"June","lip gloss","east",265,577,454
"Hallagan",2005,"November","eye liner","midwest",43,561,431
"Cici",2004,"January","lip gloss","west",314,651,580
"Emilee",2006,"January","lip gloss","west",167,445,337
"Ashley",2006,"March","foundation","midwest",99,427,305
"Betsy",2004,"December","mascara","west",174,370,275
"Betsy",2005,"December","foundation","east",221,580,452
"Colleen",2005,"July","lip gloss","south",149,299,211
"Colleen",2005,"November","lip gloss","west",113,466,401
"Jen",2006,"February","eye liner","south",210,446,340
"Betsy",2006,"November","eye liner","midwest",158,367,311
"Emilee",2006,"August","foundation","south",336,545,432
"Betsy",2004,"November","lip gloss","east",216,670,512
"Emilee",2005,"November","foundation","east",275,425,365
"Cristina",2006,"December","eye liner","south",124,309,287
"Ashley",2004,"October","mascara","south",153,409,303
"Hallagan",2005,"March","mascara","south",199,447,309
"Colleen",2004,"July","mascara","south",98,352,255
"Cristina",2004,"August","eye liner","south",148,737,632
"Colleen",2004,"June","eye liner","midwest",181,413,334
"Emilee",2006,"October","lipstick","south",313,789,692
"Hallagan",2004,"May","foundation","east",228,678,579
"Cristina",2005,"January","eye liner","south",251,515,403
"Zaret",2004,"April","eye liner","west",139,491,387
"Ashley",2006,"January","lipstick","south",161,423,317
"Betsy",2006,"April","lip gloss","west",115,502,376
"Zaret",2004,"November","lipstick","midwest",153,417,273
"Hallagan",2006,"October","eye liner","west",432,553,473
"Cristina",2005,"July","lip gloss","west",220,600,523
"Betsy",2006,"October","eye liner","west",138,323,184
"Zaret",2006,"November","lip gloss","midwest",100,444,345
"Jen",2006,"May","eye liner","south",89,406,275
"Hallagan",2004,"November","lipstick","south",253,695,617
"Cici",2004,"March","lipstick","west",126,447,327
"Emilee",2004,"November","foundation","west",72,343,246
"Hallagan",2004,"December","eye liner","midwest",169,416,260
"Cici",2004,"July","lip gloss","south",40,436,341
"Cristina",2005,"December","foundation","west",237,582,494
"Jen",2005,"August","lipstick","west",102,396,305
"Ashley",2004,"June","eye liner","midwest",420,634,528
"Cici",2005,"July","mascara","south",115,458,326
"Hallagan",2005,"August","lipstick","south",157,436,367
"Ashley",2005,"July","eye liner","west",60,454,337
"Betsy",2004,"February","foundation","south",132,454,381
"Zaret",2004,"November","mascara","west",190,545,435
"Zaret",2005,"November","lipstick","west",52,475,338
"Zaret",2006,"December","eye liner","west",110,406,301
"Cristina",2004,"March","lip gloss","west",130,323,290
"Cici",2004,"December","eye liner","east",189,365,254
"Zaret",2006,"October","lip gloss","west",191,584,446
"Hallagan",2004,"February","eye liner","west",169,431,324
"Cici",2005,"December","eye liner","east",331,527,422
"Emilee",2004,"October","lip gloss","east",133,300,220
"Ashley",2004,"January","eye liner","south",95,385,335
"Zaret",2006,"July","eye liner","west",123,603,487
"Colleen",2004,"March","foundation","south",196,504,407
"Cici",2004,"January","lip gloss","south",81,473,350
"Colleen",2006,"November","mascara","midwest",190,314,190
"Zaret",2006,"February","eye liner","south",468,559,471
"Colleen",2004,"January","mascara","west",140,440,385
"Cristina",2004,"October","lip gloss","south",88,312,271
"Betsy",2005,"August","lip gloss","west",285,509,388
"Emilee",2004,"February","lip gloss","south",121,513,408
"Cristina",2006,"May","eye liner","west",327,526,377
"Zaret",2004,"December","eye liner","east",101,626,471
"Emilee",2005,"November","foundation","midwest",329,586,445
"Emilee",2004,"November","mascara","midwest",222,451,360
"Cici",2006,"October","foundation","south",131,611,473
"Hallagan",2005,"November","mascara","west",133,288,205
"Hallagan",2005,"May","eye liner","south",97,407,275
"Cici",2005,"January","lipstick","west",223,629,532
"Cici",2006,"July","mascara","east",102,522,448
"Cristina",2005,"September","mascara","south",236,487,372
"Zaret",2004,"November","eye liner","west",218,472,344
"Colleen",2004,"December","eye liner","west",330,486,440
"Zaret",2006,"February","foundation","south",172,392,295
"Betsy",2005,"March","mascara","midwest",58,666,556
"Hallagan",2005,"November","foundation","west",229,559,458
"Colleen",2005,"May","lip gloss","south",194,436,311
"Colleen",2006,"November","foundation","east",126,408,328
"Ashley",2004,"November","eye liner","east",188,495,339
"Cici",2005,"December","mascara","west",214,822,680
"Cristina",2005,"October","foundation","south",148,484,370
"Jen",2004,"October","mascara","east",46,432,327
"Colleen",2006,"July","lip gloss","south",81,559,466
"Betsy",2006,"December","foundation","west",132,334,235
"Hallagan",2005,"August","foundation","west",269,593,490
"Ashley",2004,"September","lip gloss","midwest",212,460,376
"Ashley",2005,"December","lip gloss","west",121,421,342
"Zaret",2005,"July","mascara","midwest",72,417,323
"Colleen",2006,"July","lip gloss","east",129,520,437
"Emilee",2005,"December","mascara","west",122,472,371
"Emilee",2005,"February","lip gloss","east",161,400,310
"Hallagan",2006,"June","mascara","south",235,593,553
"Cici",2006,"January","foundation","south",203,625,526
"Hallagan",2006,"November","foundation","west",69,631,495
"Cici",2005,"June","lipstick","midwest",100,385,311
"Hallagan",2005,"February","eye liner","west",108,357,229
"Cici",2006,"December","eye liner","south",297,492,426
"Emilee",2005,"November","mascara","south",253,545,419
"Cristina",2006,"February","lip gloss","midwest",232,363,242
"Cici",2006,"November","lipstick","west",93,436,334
"Jen",2004,"January","lip gloss","south",211,397,303
"Hallagan",2005,"November","lip gloss","south",66,588,468
"Emilee",2004,"June","lip gloss","west",134,535,416
"Cristina",2005,"December","foundation","west",261,587,494
"Colleen",2006,"November","eye liner","midwest",83,503,418
"Zaret",2005,"June","lipstick","west",86,348,267
"Cristina",2004,"June","eye liner","east",291,556,460
"Emilee",2004,"November","foundation","east",205,473,355
"Betsy",2005,"December","eye liner","west",138,384,292
"Zaret",2004,"January","mascara","midwest",40,378,306
"Colleen",2004,"April","eye liner","west",314,506,389
"Hallagan",2005,"November","eye liner","midwest",102,522,406
"Zaret",2006,"November","eye liner","south",101,284,211
"Zaret",2004,"July","foundation","east",169,506,379
"Zaret",2005,"February","mascara","west",182,459,387
"Jen",2004,"November","eye liner","midwest",32,333,256
"Hallagan",2004,"November","eye liner","midwest",257,415,294
"Hallagan",2005,"December","foundation","south",78,280,277
"Cici",2006,"February","mascara","midwest",179,421,299
"Cici",2004,"February","eye liner","east",192,373,270
"Ashley",2006,"April","mascara","midwest",97,248,175
"Emilee",2005,"November","eye liner","west",104,438,319
"Emilee",2004,"April","eye liner","west",76,539,411
"Cristina",2004,"October","eye liner","midwest",79,319,265
"Hallagan",2005,"December","eye liner","west",168,562,451
"Emilee",2005,"January","eye liner","east",47,387,251
"Emilee",2006,"July","eye liner","east",270,486,423
"Betsy",2005,"January","lipstick","midwest",102,459,326
"Betsy",2005,"March","foundation","east",91,440,336
"Zaret",2005,"May","eye liner","midwest",211,552,447
"Cristina",2005,"August","eye liner","south",22,491,362
"Cici",2006,"January","foundation","south",372,550,413
"Cici",2004,"May","mascara","east",110,558,398
"Ashley",2005,"March","mascara","south",173,613,500
"Hallagan",2004,"November","lip gloss","west",77,354,278
"Cici",2006,"September","mascara","midwest",180,357,220
"Cristina",2004,"October","lip gloss","south",91,572,544
"Ashley",2004,"October","mascara","east",52,549,406
"Cristina",2004,"February","eye liner","midwest",275,648,531
"Zaret",2005,"August","lip gloss","midwest",270,464,415
"Cici",2006,"August","foundation","east",89,481,410
"Zaret",2006,"December","eye liner","west",182,558,405
"Jen",2004,"December","lipstick","midwest",347,521,409
"Cristina",2005,"October","mascara","south",463,449,335
"Cristina",2005,"February","eye liner","west",210,524,381
"Hallagan",2005,"December","lip gloss","east",128,494,427
"Cristina",2004,"November","mascara","west",259,519,415
"Colleen",2004,"April","eye liner","midwest",227,485,387
"Ashley",2006,"April","mascara","west",243,510,433
"Colleen",2004,"November","mascara","east",133,449,299
"Emilee",2005,"February","foundation","midwest",262,612,507
"Zaret",2006,"November","lipstick","west",157,387,307
"Ashley",2004,"May","eye liner","east",275,510,457
"Betsy",2004,"December","lipstick","west",249,560,435
"Betsy",2004,"January","lip gloss","west",85,513,382
"Betsy",2005,"January","eye liner","east",225,601,444
"Cici",2004,"November","lipstick","west",181,456,328
"Emilee",2005,"September","eye liner","midwest",133,364,288
"Cristina",2005,"December","lip gloss","west",214,514,401
"Colleen",2004,"May","foundation","west",236,526,471
"Hallagan",2005,"June","foundation","east",231,473,378
"Ashley",2005,"November","eye liner","west",85,395,312
"Cici",2005,"May","lip gloss","south",95,418,285
"Cristina",2006,"October","foundation","midwest",240,571,492
"Hallagan",2005,"January","lip gloss","east",192,434,309
"Hallagan",2005,"February","foundation","east",267,568,499
"Emilee",2006,"June","foundation","midwest",508,753,595
"Cici",2004,"September","eye liner","south",206,560,520
"Colleen",2004,"December","foundation","east",134,536,450
"Jen",2006,"June","eye liner","midwest",327,500,408
"Colleen",2006,"July","eye liner","south",224,582,493
"Hallagan",2005,"June","lip gloss","west",129,373,268
"Jen",2006,"October","foundation","east",173,442,355
"Emilee",2004,"April","lip gloss","east",271,622,538
"Cristina",2005,"May","mascara","midwest",134,488,405
"Hallagan",2004,"February","foundation","east",276,405,328
"Ashley",2004,"May","lip gloss","south",249,544,467
"Ashley",2006,"November","lip gloss","west",42,433,323
"Hallagan",2004,"June","mascara","east",216,449,430
